Catalyst,Hydrothermal synthesis time (min),Energy Band gap (Eg) eV,C (At%),O (At%),Fe (At%),Al (At%),Ni (At%),Mo (At%),S (At%),Bi,Ag,Pd,Pt,Surface area (m2/g),Pore volume (cm3/g),Pore size (nm),volume (L),loading (g),Catalyst_loading_mg,Light intensity (watt),Light source distance (cm),Time (m),Dye,Dye concentration (mg/L),Solution pH,Ci,HA (mg/L),Anions,log_Kw,hydrogen_bonding_acceptor_count,hydrogen_bonding_donor_count,solubility (g/L),molecular_wt (g/mol),Cf,Efficiency
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,80,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,13.04702529,31.45584541
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,80,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,12.61504598,33.72530193
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,100,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,12.39960591,34.85714286
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,100,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,12.74634483,33.03550725
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,100,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,12.55625057,34.03419082
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,120,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,11.74699507,38.28571429
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,120,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,11.46321839,39.77657005
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,120,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,11.19211185,41.20086167
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,150,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,11.6382266,38.85714286
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,150,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,11.39435563,40.13834903
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,150,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,11.60105747,39.05241546
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,180,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,11.41517241,40.02898551
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,180,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,11.57296552,39.2
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,180,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,11.84974713,37.74589372
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,11.55172414,39.3115942
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,12.10450575,36.40748792
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,11.46125057,39.78690821
